code_of_country,Territories,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
248,Aland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,France,84631.2,126707.6,56232.08,48272.73,43891.4,43523.1,48711.74,68412.65,89828.421,70262.14,86283.3422,177266.548,110619.8029,188818.526,151170.469,153572.1294,149409.0783,108229.7948,116516.1439,140505.36016,132508.7319875,259527.6249373
254,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028185,0.0050716
266,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,11.247,15.685,NA,3.82,36.69
268,Georgia,1494.4,1926.4,4858.59,3105.72,4673.02,4511.42,4240.37,5299.26,8764.07,8494.7923,9731.222,16425.475,18322.041,19052.156,23680.523,19971.092,25214.158,26435.6909,48522.1432,93771.18073,74099.9415444,98883.7507647
270,Gambia,465.2,9.4,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA
275,State of Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,0.2785,0.4928,0.98447,17.7084548,0.0114736
276,Germany,255473.8,244663,210342.06,290492.77,269661.6,239865.7,310323.53,304249.08,455089.857,417018.4695,442592.2037,775803.6821,502068.7049,545395.74317,621806.63401,488755.9347,492225.4786,587496.4417,725045.5124,927525.37853,759372.2883312,693513.6149084
288,Ghana,NA,NA,NA,NA,97.2,6.7,NA,NA,4.41,NA,42.5,127.3,135.38,1,0.85,182.37,48.447,282.488,180.192,274.741,996.233,2103.84
292,Gibraltar,98.1,24.5,14.8,46.1,273.4,148.7,50.2,NA,NA,NA,0.5,NA,NA,3.11,0.71,0.01,NA,NA,54.2541,1.1e-4,NA,NA
296,Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,Greece,3881.9,3350.2,5481.09,6486.01,3987.8,3149.6,3384.34,18570.67,6437.375,10226.7405,47805.942,49847.433,45180.096,51315.481,65284.042,62513.22,7739.389,24042.3926,4483.5628,7170.94614,7556.137563,16054.1145076
304,Greenland,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.549
308,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.42,NA,NA,NA,NA,NA,0.082,2.239,NA,NA
312,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,0.01002,0.0117698,NA
320,Guatemala,NA,NA,913.61,26.7,31.5,NA,1.02,54.7,157.42,161.03,100.46,458.61,NA,377.39,457.19,468.7,341.879,54.686,353.3276,495.293,447.7554001,207.5811994
324,Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA
328,Guyana,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,2.19,NA,NA,NA,NA,NA,8.829,0.312
332,Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,Heard Island and McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,Holy See,0.7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,Honduras,NA,NA,NA,NA,NA,0.6,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.69,4.82,165.082,109.531
344,China Hong Kong Special Administrative Region,478.7,514.7,164.59,15846.4,12207.3,4415.1,7516.06,13211.56,3765.26,6979.391,5585.14,7178.278,22657.123,15726.896,10798.611,11096.303,17370.262,17800.7826,19710.9342,57718.69337,49516.784567,41823.0877833
348,Hungary,11301.3,10475.3,6486.89,10715.56,12473,16405.4,14797.61,17445.69,26558.27,22740.18,28228.839,30017.1615,44339.681,38513.848,62274.317,44026.97,40469.178,53963.4916,47895.5578,70501.33925,108835.2419835,113744.9220583
352,Iceland,195.4,27,213.17,821.29,1530,663.5,699.31,433.73,22.99,NA,1154.19,944.769,1256.977,NA,12.087,52.394,21.1383,10.8884,33.0899,93.12159,28.8164964,1.8062172
356,India,14446.9,15902.8,15377.54,18186.86,27210.7,35835.5,48767.19,64047.1,79919.24,101557.73,123783.6201,142096.4496,163087.5729,218437.063,248788.0345,260606.6029,318203.085,291144.403,261405.7648,330569.79446,423025.3465003,460568.8315817
360,Indonesia,295.1,350,673.076,1162,1128.8,3425.79,6966.46,1947.55,2658.67,2773.41,4197.822,6847.3236,10362.843,9157.807,12027.483,6868.953,8493.665,7518.6577,10773.9688,21330.99898,18574.864233,16594.1866695
364,Iran (Islamic Republic of),44880.9,47542.799999999,31929.48,28351.89,35541.94,30515.16,38432.9,43054.26,38406.103,43269.55255,78684.875,68028.95,66927.4737,62223.53725,57078.99,59894.208,58222.76099,58140.53392,133927.6738,204605.54888,107321.852894,254183.7525028
368,Iraq,1.3,0.2,NA,NA,NA,1,NA,0,NA,NA,8.102,42.33,0.3,0.29,0.12,NA,11.54,97.925,0.1027,2157.79023,1238.2076225,1945.9595114
372,Ireland,3458.4,2562.9,753.2,4523.93,5686.5,3938.4,4489.79,6646.9,4289.04,5848.03,2155.21,1936.291,3794.915,6340.714,13733.42,13920.01,20663.746,22864.931,28462.1306,34337.44567,36576.2979646,51399.0667259
376,Israel,20010.4,27884.7,42934.43,25932.73,16373.6,12377.5,14451.54,21228.32,32943.568,26539.7794,29031.277,43554.985,27073.016,30165.3865,50460.812,28990.425,25851.649,29001.0801,36053.1876,32145.60103,35988.2685876,19632.282372
380,Italy,41976.8,39736.9,74474.25,50904.04,70021.8,58495.5,42763.76,44232.45,84825.02,147818.0226,134786.598,172934.386,148812.532,122224.99476,166155.063,154713.6278,164486.4665,153124.2099,277406.8601,375783.26108,332800.1936778,390150.99100497
384,C?te d’Ivoire,NA,38.9,72.49,NA,NA,NA,NA,NA,NA,0.0021,10,40,50.5,150,106,31.5,21.72,29.866,33.6279,85.29033,69.759,641.9552927
388,Jamaica,19.3,14.3,0.9,0.1,NA,NA,NA,NA,NA,NA,1.99,NA,NA,NA,0.39,0.54,0.336,0.145,16.857,3.93203,1.988,17.617
392,Japan,54924.9,130938.6,20263.26,60418.81,80020.7,53562.4,45213.05,62257.12,151871.18,124012.9327,105957.585,147482.032,205742.93126,204944.176,174492.939,245220.197,248296.6528,151713.5938,688696.814,385814.56753,199635.4763439,156892.1333953
,Jonston Atoll,NA,NA,NA,25.1,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,Kazakhstan,215567.3,194863.7,181522.1,196118.07,241174.75,269528.31,426248.528,730926.4,1220885.974,793526.0229,997130.267,1130047.0055,1168593.415,1061497.298,1008695.18363,847673.8969,953886.2185,998164.0613,1567442.32003,1942011.96519,2097346.0574886,2742180.052
400,Jordan,1,4.5,0.1,0.13,265,41,51.54,15.29,721.54,111.35,17.826,128.75,158.62,84.783,284.435,633.728,873.996,750.4138,1361.5565,996.49721,1957.4014571,829.7502112
404,Kenya,NA,67.8,9.3,NA,0,NA,414.02,56.88,0.53,310.78,0.01,157.82,38.465,162.01,960.57,1253.67,1186.979,4571.6363,2817.8399,6314.1828,5478.127,4667.4097974
408,Democratic People's Republic of Korea,1410.3,5189.5,267.34,340.84,202.3,472.6,364.93,402.47,0.2,15.62,7.87,7.456,15.312,82.53,16.807,23.39,82.422,165.8589,0.0678,3.98,0.9,229.815
410,Republic of Korea,287457.2,348226.6,258986.15,234796.72,351882.6,513026.2,664987.26,784264.57000001,1043723.289,1125817.78,1457620.752,1486323.178,2028698.2295,2035100.02,1876111.064,1563161.5128,868658.80810001,1244287.8898,2050470.884,2664820.52507,2099371.5219141,1841056.9055984
414,Kuwait,NA,NA,7.3,NA,1.9,0.2,0.8,0.8,0.4,0,0.12,3.711,0.006,0.636,0.381,0.16,21.687,41.4247,112.9179,79.0227,22.0767029,62.9325683
417,Kyrgyzstan,93959.9,49354.6,35038.598,26333.5,24481.367,26338.6,31650.8,46118.3,79564.998,22862.556,42378.738,65960.3449,68202.9527,43926.5668,61840.883,36092.393,45990.888,75402.1636,133122.7321,150683.47048,146697.4471636,161593.4273725
418,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,0.05,0.2,2.6,NA,6.8,12,NA,NA,NA,NA,0.64,21.4354,0.04605,68.116,0.496723
422,Lebanon,83.8,0.3,NA,NA,25,7.1,0.22,0,139.1,329.29,194.42,158.49,302.342,407.1823,244.816,109.645,15.6495,0.1358,173.4247,6.88607,166.2422133,832.2322899
426,Lesotho,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,Latvia,29217.8,37576.3,21430.93,21389.51,13855.65,22512.85,16332.52,24294.738,83357.22,104842.48,53578.3,130398.994,180231.17616,189333.502,136859.8859,136687.4259,241868.2909,212700.0206,392399.0042,328303.67287,335095.2228957,177500.1329698
430,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,8e-4,NA,NA,0.0788517
434,Libya,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA
438,Liechtenstein,113.4,576.9,49.1,112.2,27.3,37,21.01,252.99,58.59,18.98,2.11,50.07,198.16,77.12,941.38,9.04,0.8353,2.618,41.1979,9.738,22.364,126.3196774
440,Lithuania,38899,26741.7,13734.98,5842.42,16322.26,36937.03,26367.55,58331.26,19496.54,15483.05,23584.558,36224.283,41157.83576,69451.902,91245.459,264040.4128,278046.2587,259536.13145,278643.978,444981.17811,472824.9984991,438709.7522478
442,Luxembourg,442.8,10542.1,999.2,2437.2,3877.3,5560.4,6464.58,3128.79,3946.68,3788.22,7403.568,4987.43,4437.204,5715.3021,6887.884,6452.7457,7475.8979,1031.0044,3350.2025,7170.80609,9852.8346803,3552.8727703
446,China Macao Special Administrative Region,NA,NA,NA,0,NA,NA,0.08,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.851,17.58852,0.0043296,1.074e-4
450,Madagascar,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.04,0.79,1.33,0.723,1.345,4.249,9.83411,4.398,9.2172
454,Malawi,412.6,NA,NA,359.1,619.1,142.4,529.82,472.21,989.47,704.46,507.77,535.72,18.56,196.73,7.06,619.13,331.535,205.444,371.273,143.703,350.007,33.37
458,Malaysia,4131.1,3388.9,3493.167,4658.27,9125.6,12327.2,13979.09,32960.6,34203.314,23568.29252,35429.288,32874.4358,44907.0631,61056.0775,74386.36,81503.3323,69101.3703,60690.2274,70919.1992,109078.66763,64147.1324848,57929.5525179
462,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,0.008,0.499,NA,4.238,8.691,2.0695,180.40685,66.3813211,8.4174186
466,Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.2975,1.88204,475.183,0.0081816
470,Malta,38.7,75.5,NA,0.1,0.2,0.8,0.99,0.31,35.63,1068.51,7.19,0.887,2.59,14.22,36.876,67.91,46.3851,245.9495,524.6833,8.99331,745.218334,433.2813325
474,Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,Mauritania,38.4,49.4,132.05,38.4,133.2,NA,NA,38.32,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,1.2774,1.09631,2.3377976,0.108
480,Mauritius,NA,NA,0.5,NA,NA,NA,0.02,NA,0.5,0.17,0.1,NA,0.2,0.29,5.01,6.77,2.642,2.604,1.1511,4.185,2.4354,28.5878982
484,Mexico,1326.2,595.3,1955.03,131,373,758.3,154.03,558.17,800.23,2274.87,629.643,604.723,3326.066,14038.4248,10586.499,6407.7788,4850.888,4369.4162,7327.4635,99264.74391,18933.5489389,19129.388731
492,Monaco,88.2,89.5,NA,NA,0.7,378.9,1991.4,NA,12.58,21.01,5.94,12.64,46.36,127.57,NA,NA,9.716,85.232,0.0266,1845.21536,0.0012973,119.380799
496,Mongolia,NA,NA,22.7759,81.64,2514.8,15224.5,2767.65,487.17,360.04,464.82,555.256,36.54,550.008,512.236,427.19,166.063,22.35,44.8115,268.2268,519.04258,128.0569981,97.6512229
498,Republic of Moldova,2210.7,2319.8,3069.3132,3500.87,5203.09,4487.83,3776.55,6085.8,9487.66,6509.65939,5473.504,5835.757,6242.52,7955.0049,8903.239,7386.184,6783.646,8023.4493,3089.2469,2499.00804,3830.0657408,6628.2562222
499,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135,0.094,1365.115,106.8728,40.3413,0.6325,0.00841,0.00313,0.1673306
500,Montserrat,NA,NA,NA,NA,NA,NA,NA,8.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,Morocco,7.5,3.1,2.4,32.6,1.8,NA,11.68,44.94,78.29,202.49,112.64,189.644,2043.85,678.76,1410.92,1455.31,573.481,643.44,807.3826,1266.08057,1252.6993612,1273.0195801
508,Mozambique,NA,NA,NA,0.86,54.2,NA,197.66,187.52,45.58,90.94,53.95,NA,133.14,832.51,1714.4,1981.88,1784.273,1478.561,837.882,1840.476,1692.487,1903.212
512,Oman,129.3,6,2.6,64.9,2.4,11.3,39.7,101.19,0.3,0.61,0.2,2.99,0.1,0.92,0.228,3.55,78.96,0.5928,0.3419,154.21751,5.6714048,34.6893402
516,Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.42,NA,0.234,NA,NA,0.19
520,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,NA,NA
524,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.7,1.5,0.3,0.2,0.2,0.2,0.13,0.04,79.6717,0.074,287.66476,7.4149691,22.2689562
528,Netherlands,24805.5,35254.7,23628.87,28703.95,30476.4,27746.8,21410.25,35258.68,79539.96,48238.0223,58045.205,83650.537,64944.767,67476.831,87016.343,69831.0517,58086.8424,73724.578,136006.7671,125833.51249,168804.7220214,217968.414502
533,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1.482,NA,NA
548,Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.615,NA,NA,NA
554,New Zealand,1607,764.1,688.29,192.3,189.9,27.8,1946.6,2601.28,1798.77,3300.01,2270.61,3256.517,3820.4,2782.82,2794.83,2492.965,1702.313,2003.3701,1252.1228,1550.68776,1943.8610329,2063.5223
558,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,6.96,NA,NA,NA,NA,NA,NA,NA,NA,1.58,3.864,9.4e-4,2.104,6.064
562,Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0138,NA,NA,NA
566,Nigeria,NA,NA,NA,NA,NA,NA,7.95,NA,NA,NA,NA,0.044,6,NA,29.09,1,1.47,1.65,2.0316,2.40732,6.9430461,19.0003616
570,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.069,NA
574,Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,Norway,487.2,310.7,1597.76,1735.04,1173.8,2585,3197.79,4325.29,3643.31,6347.1014,1718.54,2458.41,2438.01,7377.96,2986.77,5724.39,984.662,1621.2455,1732.3125,3455.03556,3284.8522372,4689.91395
580,Northern Mariana Islands,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,US Minor Outlying Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,Pakistan,4778.4,2634.5,3907,5639.4,6163,8223.8,11099.38,9210.52,7394.54,10564.99,9654.197,13937.492,15944.154,17653.283,20575.773,17277.345,25466.322,26351.2333,66015.4562,25164.97032,24800.8510523,51499.7801211
591,Panama,164,109.3,635.2,70.3,2067.1,1860.9,960.15,149.6,169.36,45.6,0,2.52,176.32,NA,127.297,200.89,NA,0.1839,30.0662,25.0026,0.0033,1.2351916
598,Papua New Guinea,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359,NA,NA,NA,NA
600,Paraguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,NA,NA,NA,0.004,NA,NA,22.387,30.119
604,Peru,NA,118.8,60.7,382.3,42.3,5690.7,25.71,129.89,NA,2.22,1.88,204.47,1.5,1.5805,31.6165,6.507,39.305,69.8402,64.0967,18.795,257.042758,164.6177472
608,Philippines,313.1,13.4,196.2,104.7,592.7,665.8,644.57,879.39,659.51,147.42,453.1,186.961,6.86,1161.7961,2783.372,3287.6809,923.1947,379.0457,1397.2262,989.55539,2284.0304154,3298.9171783
612,Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26,NA,NA,NA,NA,NA,NA
616,Poland,46569,27161,11432.34,36819.68,26212.8,49393.85,64378.62,50012.47,67368.19,94202.185,74874.254,84284.553,129727.552,144913.3791,118972.2,100614.3178,102323.763,68805.1713,121167.0072,122415.14839,129167.2351331,160344.1478296
620,Portugal,81.5,47.2,29.73,187.7,431.6,516.3,249.22,604.91,549.6,348.2907,566.602,792.13,1723.695,929.295,1617.811,1539.407,1672.236,1254.2416,1717.1689,2538.99224,3380.2769462,5311.7203475
624,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,1.664,NA
626,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365,NA,NA,NA,NA
630,Puerto Rico,NA,NA,NA,NA,96.1,0.6,1.18,106.69,163.31,NA,1.17,NA,0.11,5.79,600.92,79.01,1.739,10.297,4.615,2.24,5.1464003,9.1708999
634,Qatar,NA,NA,NA,6.2,20.7,NA,NA,0.09,0.2,0.1,17.98,1.1,996.328,16.8,3.864,8.217,15.772,1.0345,0.3367,2442.43313,1014.3462061,19.2508188
638,Reunion,NA,NA,NA,NA,NA,NA,NA,NA,221.52,NA,NA,201.79,55.28,135.33,NA,NA,NA,NA,NA,4.026,NA,NA
